cat,nfor,ndefor,rate
1,416329,28143,0.0034934440194277494
2,23969,17004,0.05992271223969958
3,8532,7633,0.10641588005026403
4,2819,2716,0.15250507262546564
5,537,529,0.18968144239899187
6,0,0,
7,0,0,
8,0,0,
9,0,0,
10,0,0,
11,0,0,
12,0,0,
13,0,0,
14,0,0,
15,0,0,
16,0,0,
17,0,0,
18,0,0,
19,0,0,
20,0,0,
21,0,0,
22,0,0,
23,0,0,
24,0,0,
25,0,0,
26,0,0,
27,0,0,
28,0,0,
29,0,0,
30,14044,14044,1.0
