cat,nfor,ndefor,rate
1,7816,2,2.5591483292730643e-05
2,15173,195,0.0012926712513945393
3,10361,250,0.0024395012846122333
4,10649,198,0.0018750721936079406
5,12093,257,0.002145798302623181
6,12052,222,0.0018574670965869622
7,16102,428,0.002690394309591504
8,12793,564,0.004498647248854404
9,13410,458,0.0034690171002229597
10,14137,360,0.002576169846623233
11,11421,364,0.003233765531567623
12,10653,338,0.0032190473319338997
13,16538,795,0.004914378857989843
14,10865,709,0.006725477049221995
15,14702,857,0.005987938638713386
16,15664,813,0.005315610152391126
17,14335,1023,0.007376480756059789
18,12569,944,0.007777151585258935
19,14243,1346,0.009877972330318951
20,13664,1298,0.009931737876823
21,12236,1170,0.010000170604479997
22,12734,1291,0.010632807007672995
23,14123,1229,0.009062940442268519
24,13463,1637,0.012880791737034047
25,11538,1432,0.013164246176742278
26,14240,1800,0.013422880650882929
27,14579,2428,0.01805213887989976
28,14101,2461,0.018997064881285608
29,13962,2168,0.016733259954248347
30,13359,2577,0.02120320691960076
