cat,nfor,ndefor,rate
1,8855,8,9.038118872906065e-05
2,13087,140,0.0010749488278182229
3,11006,329,0.003030267786412799
4,12302,333,0.00274042584830958
5,9453,217,0.0023196314823353825
6,17051,425,0.002520928901095343
7,10802,398,0.0037470576516944742
8,13151,418,0.0032248641959436997
9,14581,499,0.0034761367225289996
10,7189,199,0.0028032160075613932
11,14710,428,0.002948398060618862
12,14436,614,0.004336924374920836
13,12837,618,0.004921798935122013
14,16229,955,0.006046419273913584
15,14405,745,0.005296276448583881
16,12772,851,0.006871653878669948
17,15029,941,0.00644497117914844
18,13923,1116,0.008320219027942
19,12983,1394,0.011294180122461528
20,14008,1511,0.011349105402531201
21,13638,1706,0.01327471807926961
22,11024,1087,0.010327258855216015
23,13025,1231,0.00987884643846404
24,15330,1518,0.010373214561555377
25,11089,967,0.009082735795896912
26,14086,1827,0.013796053544089415
27,14752,2280,0.01664909944608639
28,14652,2355,0.017369531287939943
29,13896,2046,0.015801147168587604
30,13274,2458,0.0202698197892337
