cat,nfor,ndefor,rate
1,386236,26532,0.007091447237406179
2,6736,2583,0.04721264384660229
3,252,184,0.12277532910056299
4,69,57,0.1604758077936832
5,55,42,0.1343186400661639
6,73,67,0.22109796405851334
7,37,33,0.19945485741714153
8,40,39,0.30849710781876083
9,11,11,1.0
10,0,0,
11,17,17,1.0
12,0,0,
13,0,0,
14,0,0,
15,0,0,
16,0,0,
17,0,0,
18,0,0,
19,0,0,
20,0,0,
21,0,0,
22,0,0,
23,0,0,
24,0,0,
25,0,0,
26,0,0,
27,0,0,
28,0,0,
29,0,0,
30,49,49,1.0
