cat,nfor,ndefor,rate
1,9256,6,6.484173438803253e-05
2,10827,90,0.0008343810980169231
3,10925,220,0.0020322141449544695
4,10821,171,0.0015916118836352133
5,14079,225,0.0016097355716032657
6,11651,191,0.0016515648583784737
7,17949,376,0.0021148375594716162
8,11592,217,0.001887939613891887
9,12170,294,0.002442447369454981
10,11925,418,0.0035617908140099797
11,14964,601,0.004090795908504252
12,14323,684,0.004881377249974284
13,13976,612,0.0044676948595787636
14,12743,571,0.004573894657480815
15,15822,837,0.00542042378349783
16,11144,599,0.005509707830568478
17,15030,922,0.006310622988022319
18,12528,948,0.007837789792263239
19,13653,939,0.007100226357593886
20,14417,1202,0.00866776818331727
21,11324,1090,0.010069841871147012
22,13293,1387,0.010959018211115334
23,13868,1558,0.011846480071955323
24,14835,1801,0.012859394831002291
25,12379,1689,0.014562206701074665
26,13813,1879,0.014515490432837619
27,13617,1787,0.013969541038761801
28,13683,2728,0.021990427668330037
29,13363,2521,0.020689201239208588
30,13605,3051,0.025073547073287572
