cat,nfor,ndefor,rate
1,9222,2,2.1689386383028086e-05
2,8613,34,0.0003954551086289282
3,9092,101,0.0011164591939296642
4,12603,306,0.0024549367684034706
5,19880,257,0.0013003391835059164
6,11869,184,0.001561179198279361
7,11155,142,0.0012803231562239503
8,16025,325,0.0020468314230018825
9,11612,320,0.0027905527261450347
10,16082,442,0.002783010128222685
11,9189,290,0.0032016842072616347
12,13634,573,0.004284393919543383
13,13617,596,0.004465556957491845
14,16659,778,0.004771299493730008
15,12266,602,0.005019761867104178
16,14242,635,0.00455071192447154
17,13057,805,0.006343315632056257
18,14179,993,0.007234338883516989
19,13165,1028,0.008097353857443257
20,12776,1030,0.008370337389378424
21,13137,1114,0.008821975435764462
22,12904,1238,0.010035179416627349
23,13905,1705,0.012996065855577443
24,14190,1842,0.013808119608664016
25,12419,1624,0.013916704151967108
26,13961,1978,0.015161760279871594
27,13322,1870,0.015011429741167093
28,13734,2381,0.01885914672314093
29,13565,2927,0.024013031865187995
30,13501,3492,0.02948450145781667
