cat,nfor,ndefor,rate
1,8260,2,2.421571369370934e-05
2,13006,161,0.0012448404310478889
3,8978,193,0.0021707823088013
4,10410,183,0.00177198825200231
5,12449,259,0.002100226921213477
6,18963,321,0.0017058047104563379
7,11002,251,0.0023051691025769427
8,11710,388,0.0033638736562962013
9,13457,575,0.004357322068819891
10,12597,411,0.00331159837658479
11,16832,511,0.0030781741161693965
12,9065,319,0.0035760298424802883
13,17042,777,0.0046556612021045884
14,14032,755,0.0055154557857843844
15,13959,914,0.006749076283789068
16,14524,725,0.005107544687540599
17,13678,914,0.006892138940017056
18,12719,939,0.007640041400944986
19,13649,1223,0.009343595507673275
20,13510,1234,0.009532674746538738
21,12794,1099,0.008941277989281349
22,11435,1052,0.009604476957928654
23,12571,1446,0.01214541633110322
24,16281,1877,0.012174566707615075
25,12734,1510,0.012542798974203406
26,12977,1726,0.014170790220352392
27,14186,2514,0.01931725876777224
28,13509,2460,0.019900929799501643
29,13944,2173,0.016798350334948142
30,13302,2702,0.02245019779625712
