cat,nfor,ndefor,rate
1,24538,0,0.0
2,16541,27,0.00016335078329243746
3,15766,56,0.00035576373808654527
4,7364,50,0.0006810623360549162
5,14740,97,0.0006600302029799998
6,19959,195,0.0009813250297916465
7,11389,154,0.001360480871159253
8,15204,248,0.0016432477886735297
9,13839,271,0.0019757071355958056
10,13559,320,0.002385501610394636
11,12301,345,0.0028406891318132343
12,14562,430,0.0029928790289512897
13,13203,496,0.003821783701608128
14,12243,466,0.0038730670763452713
15,13975,574,0.004185285976635478
16,12817,591,0.004709633048034179
17,14295,718,0.005140008829195741
18,14019,901,0.006620807183446709
19,13467,951,0.007296691205930128
20,13426,1120,0.008672790202656322
21,13649,1313,0.010063465233941415
22,12730,1399,0.01157440322143688
23,13233,1646,0.013195163336621407
24,13780,1924,0.014925907378214531
25,13097,2101,0.017333184226830056
26,13426,2870,0.023762977067646962
27,13210,3868,0.034052095821235806
28,13243,6483,0.06503354008824969
