cat,nfor,ndefor,rate
1,8774,4,4.5598596345453046e-05
2,13841,145,0.001052583896050896
3,9649,201,0.0021029062023393275
4,11630,193,0.0016720258777802588
5,13035,274,0.0021221852373183303
6,12925,202,0.001573964140538564
7,11800,210,0.0017940761299523045
8,11156,291,0.0026395957302823847
9,19038,611,0.0032566856054070392
10,12287,500,0.004145838548503034
11,14918,556,0.003791066478196825
12,9674,403,0.004246022625224555
13,15315,609,0.0040494952426683994
14,13292,687,0.0052928223795255525
15,12537,728,0.005964374029735597
16,15127,837,0.005675954023096286
17,14082,936,0.006854386418422398
18,12907,817,0.006517780045807942
19,13994,1154,0.008569408305219683
20,12477,1073,0.008951968223061324
21,14139,1244,0.009167450061131954
22,12064,1254,0.01091540780789313
23,13116,1435,0.011520056965076853
24,14989,1958,0.013901022402460828
25,13309,1577,0.012532836289963267
26,13242,1781,0.014340543558219676
27,12906,2067,0.017302716428894693
28,14384,2772,0.021180223873534354
29,13492,2221,0.017825596600876015
30,13476,2874,0.023701370282323886
