cat,nfor,ndefor,rate
1,9286,6,6.463219121199959e-05
2,12893,167,0.0013028888641662961
3,10810,254,0.0023748967608112626
4,14227,339,0.0024087353052872906
5,11135,250,0.002268184375792348
6,11439,268,0.0023679355025704174
7,10849,277,0.0025830494815360927
8,11819,597,0.005169817128320542
9,13822,369,0.0027022818619402145
10,14080,376,0.0027030990017075096
11,14512,430,0.00300333167659661
12,11851,455,0.003907330000046505
13,17047,883,0.005304649188573318
14,10838,643,0.006097441999829645
15,15266,816,0.005478310905602579
16,15875,971,0.0062917148954488855
17,12366,879,0.0073463635771628955
18,13247,991,0.007745398480983434
19,14437,1549,0.01128560531131384
20,13926,1290,0.009673677380283463
21,11550,1403,0.012867234259737459
22,12160,1225,0.010562146862557631
23,14930,1327,0.009265038062409414
24,13155,1385,0.011063147574923993
25,11558,1337,0.012218086629479985
26,15863,1988,0.01330082119096132
27,12958,2178,0.018233794836345574
28,14608,2341,0.017314018868689218
29,13745,2120,0.01661218721059521
30,13323,2500,0.02056738235429112
