cat,nfor,ndefor,rate
1,9937,5,5.032839381446941e-05
2,11719,49,0.00041891322914078266
3,4479,26,0.0005820086557779547
4,14346,225,0.0015795618386762467
5,15124,213,0.0014173636320256033
6,13830,242,0.0017637522954238039
7,12369,166,0.0013502395295299507
8,16474,282,0.0017251190100450176
9,14330,320,0.002255839909266255
10,10124,316,0.003166023891646219
11,13473,354,0.002659070559711152
12,14387,550,0.003890298840975248
13,13151,424,0.0032718438501893043
14,14854,612,0.004198545727302938
15,11188,436,0.003967109304260474
16,16677,779,0.004772297179095553
17,13273,768,0.00594260568351801
18,13790,933,0.006981046659833567
19,12098,988,0.008483266889396157
20,14061,1169,0.008642243615517131
21,12042,889,0.00763986860962107
22,15129,1302,0.008958652916391752
23,12749,1427,0.011800333600120783
24,13770,1986,0.015454300866400539
25,13496,1878,0.014872074429562399
26,13243,2028,0.016484316142308497
27,13580,2201,0.017527432821713096
28,13151,2287,0.01892299204607828
29,13366,2785,0.023094565093018327
30,13365,3974,0.03467336840462132
