cat,nfor,ndefor,rate
1,20132,6,2.9807296050954335e-05
2,5986,13,0.0002173859362862851
3,15025,95,0.0006340857696139901
4,14022,93,0.000665231343340178
5,13455,97,0.0007232711008119397
6,12878,133,0.00103760044879031
7,12074,166,0.001383435891137652
8,18353,314,0.001724208656490478
9,10918,216,0.0019962212418657144
10,15042,362,0.002433061817031845
11,13758,366,0.002692664194600125
12,12277,448,0.0037104441902212626
13,14274,570,0.004066901617944763
14,12753,493,0.003934699458157054
15,14946,767,0.005254318399494307
16,14038,636,0.004625667370043884
17,13950,703,0.0051574938780171165
18,11773,577,0.005012614948668337
19,14064,869,0.006357740593682548
20,13830,966,0.007214592297753009
21,12801,1051,0.008530413008892457
22,13745,1495,0.011448875525119195
23,13102,1345,0.010773157602346983
24,13416,1712,0.013558973733452162
25,13367,1890,0.015128787440619518
26,13758,2249,0.01769076163176664
27,13341,2772,0.023022523769571368
28,13257,3638,0.03156948198750398
29,13240,5572,0.05315386243881248
