cat,nfor,ndefor,rate
1,9827,5,5.0891881287928875e-05
2,11075,67,0.000606619406026021
3,9249,205,0.0022388782805206064
4,10814,192,0.001789823248547373
5,13124,187,0.0014340899251705785
6,17835,249,0.0014049808743366032
7,11998,233,0.00195917301534676
8,11415,293,0.002596937230767371
9,11430,209,0.0018437437248424171
10,16646,461,0.002804565831129535
11,14489,538,0.003776705296448357
12,14060,734,0.005347339034228127
13,13080,599,0.004676715758228589
14,12946,545,0.004291738615117113
15,12164,561,0.004710578703672863
16,14534,751,0.00529142915484071
17,14809,883,0.006128891999933939
18,13916,1062,0.007906994982528559
19,13670,1016,0.007693282045903249
20,12031,948,0.008173835969592314
21,11251,1061,0.00985612352035381
22,16345,1625,0.01041685747835297
23,11926,1547,0.013797564556038311
24,14198,1800,0.013465117250622494
25,12820,1598,0.01322480496809475
26,13745,1800,0.013938185431013217
27,13969,1915,0.014636236922236145
28,13039,2431,0.020422226279835698
29,13585,2846,0.023234256375623152
30,13585,3253,0.027000817288851287
