cat,nfor,ndefor,rate
1,391871,28867,0.007622683907384964
2,1489,590,0.04920585341592598
3,173,124,0.1185148553487293
4,16,11,0.10980530431227753
5,17,14,0.15924930821132233
6,6,6,1.0
7,0,0,
8,1,0,0.0
9,0,0,
10,0,0,
11,0,0,
12,0,0,
13,0,0,
14,0,0,
15,0,0,
16,0,0,
17,0,0,
18,0,0,
19,0,0,
20,0,0,
21,0,0,
22,0,0,
23,0,0,
24,0,0,
25,0,0,
26,0,0,
27,0,0,
28,0,0,
29,0,0,
30,2,2,1.0
