cat,nfor,ndefor,rate
1,20592,27,0.0001311963101496838
2,10323,47,0.00045622951922963395
3,13198,100,0.0007602864522177066
4,13691,115,0.0008431598128020301
5,13479,167,0.001245926655811358
6,13391,166,0.0012466085141515926
7,12774,222,0.0017516480415686875
8,12871,287,0.0022525145641288935
9,11135,220,0.0019935413223701737
10,15405,376,0.002467995887665886
11,13559,445,0.003331455510262926
12,14947,584,0.003977583909063109
13,13407,556,0.004226575710504776
14,13020,538,0.004211011747255244
15,14609,592,0.00412814553128904
16,12758,620,0.004969361505272829
17,14247,780,0.005614589919779922
18,12438,649,0.00534460742875853
19,13980,925,0.0068222753563357275
20,13830,1095,0.008214677338678533
21,12686,1264,0.010440881899686505
22,14096,1408,0.01046826275350532
23,13311,1558,0.012371064753116001
24,12625,1598,0.013442054167846496
25,14041,2100,0.016069856136059157
26,13186,2289,0.01888619195720298
27,13121,2631,0.022130602029016955
28,13535,3349,0.02802623872624599
29,13320,4906,0.04489783770172129
