cat,nfor,ndefor,rate
1,9840,40,0.0004072495901279449
2,11953,146,0.0012282168206432242
3,11045,329,0.003019420871022027
4,14982,441,0.0029832646952431263
5,12250,402,0.003331125452107009
6,11009,305,0.0028056185455317406
7,11121,446,0.004084700197092395
8,13369,368,0.00278733977693002
9,15139,483,0.003237187742120562
10,7052,314,0.004544454530493902
11,8911,411,0.004710899254952605
12,18055,801,0.00452758485274507
13,14020,545,0.003957026736232883
14,19167,1030,0.005508372935921213
15,10131,580,0.005878073031523878
16,13793,756,0.005621116909506063
17,13579,815,0.006170461356570289
18,15129,1286,0.008844033615651004
19,15050,1665,0.011655869267478303
20,14293,1944,0.014513136124616355
21,13016,1635,0.01333371500508973
22,12691,1170,0.009625537457034539
23,10785,1030,0.00998742169596678
24,14462,1385,0.010016453593315489
25,10323,1026,0.010413663211060853
26,11813,1259,0.011206304785820298
27,19046,2639,0.014804227029123873
28,13792,2014,0.01566159441697723
29,14095,1741,0.013097494183761715
30,13664,2608,0.02095643406958081
